compiler,flags,lto,native
gcc,-O0,false,false
gcc,-O1,false,false
gcc,-O2,false,false
gcc,-O3,false,false
gcc,-Ofast,false,false
gcc,-O0,true,false
gcc,-O1,true,false
gcc,-O2,true,false
gcc,-O3,true,false
gcc,-Ofast,true,false
gcc,-O0,true,true
gcc,-O1,true,true
gcc,-O2,true,true
gcc,-O3,true,true
gcc,-Ofast,true,true
clang,-O0,false,false
clang,-O1,false,false
clang,-O2,false,false
clang,-O3,false,false
clang,-Ofast,false,false
clang,-O0,true,false
clang,-O1,true,false
clang,-O2,true,false
clang,-O3,true,false
clang,-Ofast,true,false
clang,-O0,true,true
clang,-O1,true,true
clang,-O2,true,true
clang,-O3,true,true
clang,-Ofast,true,true