blocks,threads,photons,runs
32,32,8589934592,2
32,64,8589934592,2
32,128,8589934592,2
32,256,8589934592,2
32,512,8589934592,2
32,1024,8589934592,2
64,32,8589934592,2
64,64,8589934592,2
64,128,8589934592,2
64,256,8589934592,2
64,512,8589934592,2
64,1024,8589934592,2
128,32,8589934592,2
128,64,8589934592,2
128,128,8589934592,2
128,256,8589934592,2
128,512,8589934592,2
128,1024,8589934592,2
256,32,8589934592,2
256,64,8589934592,2
256,128,8589934592,2
256,256,8589934592,2
256,512,8589934592,2
256,1024,8589934592,2
512,32,8589934592,2
512,64,8589934592,2
512,128,8589934592,2
512,256,8589934592,2
512,512,8589934592,2
512,1024,8589934592,2
1024,32,8589934592,2
1024,64,8589934592,2
1024,128,8589934592,2
1024,256,8589934592,2
1024,512,8589934592,2
1024,1024,8589934592,2
2048,32,8589934592,2
2048,64,8589934592,2
2048,128,8589934592,2
2048,256,8589934592,2
2048,512,8589934592,2
2048,1024,8589934592,2
4096,32,8589934592,2
4096,64,8589934592,2
4096,128,8589934592,2
4096,256,8589934592,2
4096,512,8589934592,2
4096,1024,8589934592,2